Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,3817.421582
1983,4743.550071
1984,3905.002869
1985,4170.010331
1986,4510.182247
1987,3769.742083
1988,3668.634637
1989,3420.21773
1990,3347.78923
1991,2745.149639
1992,2995.317262
1993,3639.806547
1994,5746.168771
1995,4504.054812
1996,4323.252437
1997,3434.993335
1998,3076.23355
1999,2752.054887
2000,2821.688082
2001,3754.569997
2002,2973.217659
2003,3428.017635
2004,3481.676196
2005,3807.989652
2006,3468.184784
2007,2989.548541
2008,2864.271062
2009,2632.268055
2010,4174.51194
2011,4255.131022
2012,3860.059885
2013,3666.852956
2014,4555.131981
2015,4531.756545
2016,4364.408847
2017,3454.074806
2018,3443.970173
2019,3513.503373
2020,null
