Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,6653.276478
1983,6430.976409
1984,6285.331729
1985,4563.563034
1986,4554.781702
1987,5598.620624
1988,5928.432139
1989,5746.444148
1990,5800.160841
1991,6132.918876
1992,6349.816094
1993,6502.600017
1994,7897.970203
1995,6100.944294
1996,6151.411515
1997,7069.817264
1998,6277.398066
1999,4343.494605
2000,5023.263262
2001,5614.166231
2002,5499.418338
2003,5925.949417
2004,6555.791387
2005,7082.134484
2006,6702.544606
2007,6177.346276
2008,6138.290426
2009,5142.990841
2010,6458.001194
2011,6473.957076
2012,5716.741046
2013,5693.991257
2014,6109.047155
2015,4727.261888
2016,5804.722573
2017,5970.473771
2018,4459.318435
2019,4562.343574
2020,null
