Year,Value
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,7.555670799
1994,null
1995,2.908847185
1996,2.335120643
1997,1.202615652
1998,1.638069705
1999,2.545795068
2000,1.628308831
2001,1.694369973
2002,1.536193029
2003,0.753404501
2004,1.271849866
2005,0.391724417
2006,0.451930748
2007,0.593808488
2008,0.517426273
2009,null
2010,0.675603217
2011,1.48
2012,null
2013,null
2014,0.433380545
2015,0.6211
2016,null
2017,null
2018,null
2019,null
2020,null
