Year,Value
1976,null
1977,null
1978,42715.80742
1979,38262.08467
1980,34251.37216
1981,30900.45623
1982,27908.37874
1983,25101.21585
1984,22508.48503
1985,19974.19112
1986,17592.34607
1987,15498.951
1988,13614.20173
1989,12044.52056
1990,10889.12539
1991,10075.45855
1992,9413.623021
1993,8962.497072
1994,8577.411773
1995,8259.764255
1996,7966.765898
1997,7746.94372
1998,7559.18602
1999,7380.649283
2000,7259.849452
2001,7192.171853
2002,7145.58504
2003,7082.654291
2004,6983.210402
2005,6884.020164
2006,6790.207825
2007,6721.213768
2008,6612.229887
2009,6561.387848
2010,6592.875766
2011,6597.267477
2012,6537.94456
2013,6382.989622
2014,6249.958143
2015,6209.080023
2016,6335.856143
2017,6439.452258
2018,6576.049046
2019,6829.620588
2020,null
