Year,Value
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,0.015779496
2004,0.016191883
2005,0.015327443
2006,0.015580537
2007,0.01538251
2008,0.014861054
2009,0.013641473
2010,0.013018541
2011,0.012305177
2012,0.011295055
2013,0.011080259
2014,0.010799637
2015,0.011901829
2016,0.012293635
2017,0.013499073
2018,0.015043073
2019,null
2020,null
