Year,Value
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,53788
1992,null
1993,null
1994,125370.4
1995,null
1996,null
1997,173383
1998,null
1999,null
2000,43424.1
2001,null
2002,257818.1
2003,null
2004,583401.5
2005,null
2006,76899.2
2007,null
2008,null
2009,null
2010,302498.2
2011,null
2012,53453.8
2013,null
2014,155687.2
2015,null
2016,99840.4
2017,null
2018,206245.6
2019,null
2020,null
