Year,Value
1976,null
1977,null
1978,16367.291
1979,15224.71565
1980,14188.27652
1981,13244.59872
1982,12336.77896
1983,11412.89724
1984,10549.01192
1985,9603.089197
1986,8625.888003
1987,7781.673958
1988,7084.737076
1989,6554.584313
1990,6231.415858
1991,6075.944218
1992,5985.902995
1993,5906.698373
1994,5853.672117
1995,5823.957643
1996,5803.945058
1997,5736.997981
1998,5686.914167
1999,5648.738642
2000,5593.270249
2001,5568.977501
2002,5554.487768
2003,5625.62869
2004,5672.297723
2005,5801.204799
2006,5914.210317
2007,6051.407928
2008,6221.579385
2009,6390.601715
2010,6530.455915
2011,6649.106986
2012,6789.395834
2013,6928.178784
2014,7114.597451
2015,7350.942691
2016,7564.7032
2017,7835.575804
2018,8120.597854
2019,8463.758847
2020,null
