Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.1
1981,null
1982,null
1983,null
1984,202.89
1985,null
1986,null
1987,192.92
1988,null
1989,null
1990,155.47
1991,null
1992,null
1993,219.97
1994,null
1995,null
1996,233.67
1997,null
1998,null
1999,253.47
2000,null
2001,null
2002,null
2003,288.04
2004,null
2005,240.54
2006,null
2007,251.7
2008,null
2009,245.86
2010,null
2011,276.56
2012,null
2013,237.41
2014,null
2015,365.81
2016,null
2017,216.48
2018,null
2019,221.55
2020,null
