Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,0.38
1998,0.25
1999,0.34
2000,0.29
2001,0.41
2002,0.39
2003,0.21
2004,0.29
2005,0.21
2006,0.29
2007,0.31
2008,0.23
2009,0.34
2010,0.15
2011,0.33
2012,0.27
2013,0.42
2014,0.28
2015,0.17
2016,0.36
2017,0.48
2018,0.22
2019,0.22
2020,0.48
