Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,43807
1981,45015
1982,33328
1983,39065
1984,46522
1985,40888
1986,32844
1987,47182
1988,62140
1989,44383
1990,27374
1991,31466
1992,49587
1993,34901
1994,22917
1995,31024
1996,39172
1997,47164
1998,55902
1999,59624
2000,55496
2001,66323
2002,68371
2003,89062
2004,111192
2005,97881
2006,84429
2007,83578
2008,100497
2009,117195
2010,114645
2011,107746
2012,76975
2013,74473
2014,71677
2015,64528
2016,72646
2017,63327
2018,56358
2019,130738
2020,null
