Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,61306
1991,63311
1992,64758
1993,65384
1994,65391
1995,65556
1996,66338
1997,66505
1998,66714
1999,66726
2000,66455
2001,65562
2002,65964
2003,65976
2004,65341
2005,65538
2006,65133
2007,64031
2008,64276
2009,64902
2010,65445
2011,67228
2012,67644
2013,67914
2014,68077
2015,67910
2016,67341
2017,66560
2018,66251
2019,65985
2020,null
