Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,8508.475079
1981,8554.672461
1982,8686.521728
1983,9030.363563
1984,9449.189043
1985,9675.468791
1986,9867.202115
1987,10114.40705
1988,10307.44717
1989,10499.73556
1990,10672.24794
1991,10929.31034
1992,11250.29496
1993,11418.24441
1994,11640.19414
1995,11912.6051
1996,12190.79604
1997,12516.802
1998,12813.74045
1999,13183.46296
2000,13453.02466
2001,13769.13209
2002,14129.92498
2003,14514.4072
2004,14881.94043
2005,15157.13492
2006,15448.62792
2007,15835.6006
2008,16185.84417
2009,16608.50673
2010,17082.29134
2011,17630.20125
2012,18130.64376
2013,18724.43943
2014,19340.8198
2015,19893.01874
2016,20442.99307
2017,21179.73198
2018,21889.36801
2019,22610.11433
2020,null
