Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,11.21
1986,11.61
1987,11.5
1988,11.21
1989,12.14
1990,12.69
1991,11.34
1992,11.79
1993,13.08
1994,12.7
1995,11.82
1996,12.11
1997,13.47
1998,12.16
1999,11.56
2000,12.41
2001,12.24
2002,11.8
2003,12.77
2004,13.95
2005,13.78
2006,12.42
2007,12.31
2008,10.88
2009,12.06
2010,11.74
2011,12.37
2012,11.4
2013,12.94
2014,12.74
2015,13.31
2016,13.69
2017,12.64
2018,12.57
2019,13.46
2020,12.55
