Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,1225.7
1998,922.2
1999,1277
2000,1694.2
2001,1666.6
2002,1273.5
2003,1672.7
2004,1327.1
2005,1102.8
2006,2134.4
2007,3420.2
2008,2802.3
2009,2879.6
2010,1808.7
2011,1723.1
2012,1464.5
2013,1170.3
2014,1418.6
2015,1224.4
2016,1090.1
2017,1895.7
2018,2418.9
2019,1630.5
2020,1586.8
