Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,7617.750221
1983,6495.848883
1984,5586.360993
1985,2818.395872
1986,3437.853103
1987,6561.491823
1988,7635.478266
1989,7666.705665
1990,8528.533711
1991,7781.631162
1992,6827.618877
1993,6913.723399
1994,6634.292627
1995,7138.50018
1996,6447.88386
1997,7250.335297
1998,6442.673484
1999,5546.423152
2000,5926.153877
2001,6767.585991
2002,6451.187527
2003,7384.480312
2004,7602.005699
2005,9233.363763
2006,9342.549327
2007,8460.633708
2008,7331.455219
2009,7057.178717
2010,8782.607453
2011,9406.46282
2012,9798.951517
2013,9621.868906
2014,8778.029798
2015,9705.113615
2016,10456.24501
2017,10627.0928
2018,10803.39399
2019,9760.798337
2020,null
