Year,Value
1961,342335
1962,300828
1963,262498
1964,283922
1965,253768
1966,319045
1967,291000
1968,235000
1969,232870
1970,230485
1971,null
1972,269000
1973,236500
1974,269000
1975,278261
1976,291000
1977,235200
1978,247100
1979,245932
1980,203825
1981,179444
1982,203581
1983,165941
1984,173274
1985,182258
1986,167656
1987,171610
1988,202229
1989,171534
1990,201305
1991,null
1992,182437
1993,null
1994,192104
1995,null
1996,170125
1997,null
1998,179149
1999,null
2000,158736
2001,null
2002,145716
2003,null
2004,122825
2005,null
2006,109961
2007,null
2008,102674
2009,null
2010,94502
2011,null
2012,96828
2013,null
2014,91737
2015,null
2016,80641
2017,null
2018,75719
2019,null
2020,null
