Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,10226.83036
1983,14802.00735
1984,12205.13884
1985,10177.70194
1986,13093.00344
1987,11658.71515
1988,18333.96898
1989,15147.58172
1990,17746.33426
1991,13811.31171
1992,14398.24668
1993,26021.09797
1994,16150.74254
1995,18435.53223
1996,10032.74848
1997,15360.78698
1998,8102.328286
1999,8897.789576
2000,12247.35881
2001,10134.19009
2002,12155.31438
2003,20854.86439
2004,13123.21817
2005,13292.31784
2006,8364.550638
2007,9577.09935
2008,8129.992044
2009,6402.720218
2010,11569.75029
2011,10207.10657
2012,12335.16945
2013,15010.03311
2014,18045.04799
2015,19230.77377
2016,11834.61315
2017,11295.98813
2018,10831.38578
2019,12275.4449
2020,null
