Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,-1.506317268
1997,-1.06571066
1998,-2.350587743
1999,-0.107050831
2000,3.95329604
2001,1.672557445
2002,2.98542665
2003,1.350807844
2004,0.540136036
2005,-2.776312511
2006,-0.9475465
2007,-0.121578222
2008,2.309217627
2009,2.328992032
2010,3.210762446
2011,0.089090764
2012,2.177206407
2013,2.792997494
2014,3.833718549
2015,-1.237924074
2016,-6.593181638
2017,-4.006177368
2018,-6.531822519
2019,1.425424105
2020,null
