Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,0.0582
2004,0.058
2005,0.0576
2006,0.0589
2007,0.0595
2008,0.0629
2009,0.0578
2010,0.0526
2011,0.0515
2012,0.048
2013,0.0458
2014,0.0457
2015,0.0456
2016,0.0464
2017,0.0444
2018,0.0449
2019,null
2020,null
