Year,Value
1976,null
1977,null
1978,26487.5818
1979,22530.63729
1980,19418.45901
1981,16623.79502
1982,14347.33946
1983,12394.95216
1984,10844.5255
1985,9337.881713
1986,8293.416736
1987,7306.77128
1988,6556.936629
1989,5965.934499
1990,5465.716136
1991,5079.801894
1992,4692.481801
1993,4290.146511
1994,3858.917537
1995,3456.768662
1996,3085.769901
1997,2792.72224
1998,2507.762132
1999,2207.989654
2000,1925.183396
2001,1699.897006
2002,1519.031992
2003,1399.281313
2004,1304.066151
2005,1196.712849
2006,1102.944514
2007,1034.535207
2008,978.7836693
2009,924.3853729
2010,864.7631686
2011,807.2140823
2012,747.3537504
2013,691.2620883
2014,637.7378604
2015,598.1409514
2016,568.464938
2017,551.9127535
2018,540.9282364
2019,539.1516326
2020,null
