Year,Value
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,0.020598983
2004,0.020211399
2005,0.020637829
2006,0.022936931
2007,0.023227254
2008,0.024072456
2009,0.022883639
2010,0.023086745
2011,0.020323882
2012,0.018106787
2013,0.017401454
2014,0.016389564
2015,0.019005442
2016,0.020490531
2017,0.022995361
2018,0.023105786
2019,null
2020,null
