Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,2716.35
1985,null
1986,null
1987,2598.74
1988,null
1989,null
1990,3366.69
1991,null
1992,null
1993,3207.48
1994,null
1995,null
1996,3080.98
1997,null
1998,null
1999,2384.21
2000,null
2001,2897.34
2002,null
2003,4052.13
2004,null
2005,3311.85
2006,null
2007,2977.56
2008,null
2009,3319.18
2010,null
2011,2868.69
2012,null
2013,2451.71
2014,null
2015,2447.12
2016,null
2017,1775.16
2018,null
2019,2002.85
2020,null
