Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.16
1981,0.88
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,0
1990,0
1991,0
1992,null
1993,null
1994,null
1995,0.18
1996,null
1997,null
1998,0.05
1999,null
2000,null
2001,null
2002,0.38
2003,null
2004,0.07
2005,0.13
2006,0.46
2007,0.18
2008,null
2009,0
2010,0.22
2011,null
2012,0.04
2013,0.01
2014,0.51
2015,null
2016,0.32
2017,0.22
2018,0.35
2019,0
2020,null
