Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,0.12
1987,null
1988,null
1989,null
1990,0.08
1991,null
1992,null
1993,0.03
1994,0.09
1995,0.4
1996,0.16
1997,0.08
1998,0.02
1999,0.01
2000,0.1
2001,0.05
2002,0.08
2003,0.03
2004,0.06
2005,0.02
2006,0.05
2007,0.09
2008,0.48
2009,0.48
2010,0.22
2011,0.38
2012,0.55
2013,0.56
2014,0.08
2015,0.06
2016,0.01
2017,0.01
2018,0.04
2019,0.06
2020,0.03
