Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,null
2004,0.011833467
2005,-0.018225983
2006,-0.015125201
2007,0.078309243
2008,-0.044892839
2009,0.136342127
2010,0.06394823
2011,0.08575773
2012,0.095807861
2013,-0.056288484
2014,-0.039101622
2015,0.020179983
2016,-0.100308464
2017,-0.023064121
2018,-0.043765058
2019,-0.093134882
2020,null
