Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,5488.42
1985,null
1986,null
1987,1631.07
1988,null
1989,null
1990,3091.15
1991,null
1992,null
1993,5086.71
1994,null
1995,null
1996,6151.18
1997,null
1998,null
1999,6053.17
2000,null
2001,11534.49
2002,null
2003,11481.12
2004,null
2005,9268.14
2006,null
2007,8413.62
2008,null
2009,11039.43
2010,null
2011,7878.2
2012,null
2013,8077.71
2014,null
2015,13805.21
2016,null
2017,6961.26
2018,null
2019,8561.19
2020,null
