Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,66617
1991,68502
1992,72792
1993,74408
1994,76666
1995,78209
1996,78593
1997,79482
1998,80850
1999,82158
2000,125351
2001,127546
2002,131105
2003,135217
2004,137512
2005,141492
2006,144389
2007,148454
2008,151650
2009,155123
2010,154528
2011,158476
2012,160665
2013,162949
2014,165480
2015,167230
2016,169911
2017,171405
2018,172557
2019,173617
2020,null
