Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,null
2004,-0.308669381
2005,0.151235525
2006,-0.027553284
2007,0.086931924
2008,-0.370977648
2009,-0.691972825
2010,-0.046677981
2011,-0.512743321
2012,0.061933757
2013,-0.378147616
2014,0.197298902
2015,0.207725465
2016,0.522628171
2017,0.481114849
2018,-0.154073096
2019,0.593752661
2020,null
