Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.26
1981,0.65
1982,0.4
1983,0.65
1984,1.47
1985,1.01
1986,1.04
1987,1.8
1988,1.15
1989,-0.8
1990,-0.39
1991,-1.81
1992,0.15
1993,0.26
1994,0.96
1995,-0.61
1996,0.5
1997,0.16
1998,1.02
1999,-0.47
2000,-1.49
2001,0.47
2002,-0.43
2003,1.98
2004,0.41
2005,0.36
2006,0.63
2007,0.06
2008,-0.78
2009,-1.27
2010,0.58
2011,-0.99
2012,-1.34
2013,-0.35
2014,0.09
2015,2.42
2016,1.43
2017,0.88
2018,0.52
2019,0.55
2020,0.02
