Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,57154.45681
1981,53601.25074
1982,50250.93878
1983,46952.67208
1984,43792.68121
1985,40419.01199
1986,36835.87886
1987,32774.50687
1988,29074.38142
1989,25839.58725
1990,23348.42182
1991,21170.2161
1992,19665.14235
1993,18377.98609
1994,17335.12259
1995,16479.27231
1996,15792.91832
1997,15357.84528
1998,14977.34968
1999,14688.5349
2000,14410.96185
2001,14403.82598
2002,14488.41313
2003,14659.34973
2004,14894.52076
2005,15236.68824
2006,15638.54528
2007,15962.56907
2008,16459.43977
2009,17169.34825
2010,17998.70086
2011,18937.35037
2012,19781.66486
2013,20468.45023
2014,21001.10063
2015,21475.61005
2016,21900.9245
2017,22297.07115
2018,22610.67641
2019,22818.99962
2020,null
