Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,9.3
1986,9.5
1987,10.36
1988,10.31
1989,9.85
1990,10.53
1991,9.52
1992,10.2
1993,10.79
1994,10.2
1995,9.72
1996,10.2
1997,11.66
1998,10.42
1999,9.65
2000,10.37
2001,11.13
2002,10.55
2003,11.04
2004,11.53
2005,12.08
2006,10.29
2007,10.16
2008,9.61
2009,9.88
2010,9.73
2011,9.96
2012,9.51
2013,10.43
2014,11.41
2015,11.57
2016,12.33
2017,10.99
2018,10.47
2019,12.1
2020,11.49
