rgn,idx,region,name,url,meta_yml,data_csv,html
EBS,NPI,Eastern Bering Sea,North Pacific Index,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=NPI,/Users/bbest/github/bbest/r3-exercises/data/alaska/NPI.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/NPI.csv,./z_NPI.html
EBS,IceExtent,Eastern Bering Sea,Sea Ice Extent,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=IceExtent,/Users/bbest/github/bbest/r3-exercises/data/alaska/IceExtent.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/IceExtent.csv,./z_IceExtent.html
EBS,Euphs,Eastern Bering Sea,Euphausiid biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Euphs,/Users/bbest/github/bbest/r3-exercises/data/alaska/Euphs.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Euphs.csv,./z_Euphs.html
EBS,Epifauna,Eastern Bering Sea,Motile epifauna biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Epifauna,/Users/bbest/github/bbest/r3-exercises/data/alaska/Epifauna.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Epifauna.csv,./z_Epifauna.html
EBS,Benthic,Eastern Bering Sea,Benthic forager biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Benthic,/Users/bbest/github/bbest/r3-exercises/data/alaska/Benthic.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Benthic.csv,./z_Benthic.html
EBS,Pelagic,Eastern Bering Sea,Pelagic forager biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Pelagic,/Users/bbest/github/bbest/r3-exercises/data/alaska/Pelagic.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Pelagic.csv,./z_Pelagic.html
EBS,Apex,Eastern Bering Sea,Apex predator biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Apex,/Users/bbest/github/bbest/r3-exercises/data/alaska/Apex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Apex.csv,./z_Apex.html
EBS,Seabird,Eastern Bering Sea,Multivariate seabird breeding index (PC1),https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Seabird,/Users/bbest/github/bbest/r3-exercises/data/alaska/Seabird.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Seabird.csv,./z_Seabird.html
EBS,Fur,Eastern Bering Sea,St. Paul N. Fur seal pups born,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Fur,/Users/bbest/github/bbest/r3-exercises/data/alaska/Fur.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Fur.csv,./z_Fur.html
EBS,Trawl,Eastern Bering Sea,Habitat impacted by trawls,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=Trawl,/Users/bbest/github/bbest/r3-exercises/data/alaska/Trawl.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/Trawl.csv,./z_Trawl.html
WAI,WAI_Least,Western AI,Least Auklet reproductive success,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Least,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Least.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Least.csv,./z_WAI_Least.html
WAI,WAI_Crest,Western AI,Crested Auklet reproductive success,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Crest,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Crest.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Crest.csv,./z_WAI_Crest.html
WAI,WAI_PSL,Western AI,Ammodytes in Tufted Puffin diet,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_PSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_PSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_PSL.csv,./z_WAI_PSL.html
WAI,WAI_Gad,Western AI,Gadids in Tufted Puffin diet,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Gad,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Gad.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Gad.csv,./z_WAI_Gad.html
WAI,WAI_Hex,Western AI,Hexagrammids in Tufted Puffin diet,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Hex,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Hex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Hex.csv,./z_WAI_Hex.html
WAI,WAI_Pelagic,Western AI,Pelagic forager biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Pelagic,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Pelagic.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Pelagic.csv,./z_WAI_Pelagic.html
WAI,WAI_Apex,Western AI,Apex predator biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Apex,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Apex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Apex.csv,./z_WAI_Apex.html
WAI,WAI_Ott,Western AI,Otters at Attu,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Ott,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Ott.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Ott.csv,./z_WAI_Ott.html
WAI,WAI_SSL,Western AI,SSL non pup counts,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_SSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_SSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_SSL.csv,./z_WAI_SSL.html
WAI,WAI_Trawl,Western AI,Habitat Impacted by Trawls,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WAI_Trawl,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Trawl.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WAI_Trawl.csv,./z_WAI_Trawl.html
CAI,CAI_Pelagic,Central AI,Pelagic forager biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=CAI_Pelagic,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Pelagic.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Pelagic.csv,./z_CAI_Pelagic.html
CAI,CAI_Apex,Central AI,Apex predator biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=CAI_Apex,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Apex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Apex.csv,./z_CAI_Apex.html
CAI,CAI_Ott,Central AI,Otters at Amchitka,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=CAI_Ott,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Ott.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Ott.csv,./z_CAI_Ott.html
CAI,CAI_SSL,Central AI,SSL non pup counts,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=CAI_SSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_SSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_SSL.csv,./z_CAI_SSL.html
CAI,CAI_School,Central AI,School Enrollment,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=CAI_School,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_School.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_School.csv,./z_CAI_School.html
CAI,CAI_Trawl,Central AI,Habitat Impacted by Trawls,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=CAI_Trawl,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Trawl.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/CAI_Trawl.csv,./z_CAI_Trawl.html
EAI,EAI_PSL,Eastern AI,Ammodytes in Tufted Puffin diet,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_PSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_PSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_PSL.csv,./z_EAI_PSL.html
EAI,EAI_Gad,Eastern AI,Gadids in Tufted Puffin diet,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_Gad,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Gad.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Gad.csv,./z_EAI_Gad.html
EAI,EAI_Hex,Eastern AI,Hexagrammids in Tufted Puffin diet,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_Hex,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Hex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Hex.csv,./z_EAI_Hex.html
EAI,EAI_Pelagic,Eastern AI,Pelagic forager biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_Pelagic,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Pelagic.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Pelagic.csv,./z_EAI_Pelagic.html
EAI,EAI_Apex,Eastern AI,Apex predator biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_Apex,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Apex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_Apex.csv,./z_EAI_Apex.html
EAI,EAI_SSL,Eastern AI,SSL non pup counts,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_SSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_SSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_SSL.csv,./z_EAI_SSL.html
EAI,EAI_School,Eastern AI,School Enrollment,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EAI_School,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_School.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EAI_School.csv,./z_EAI_School.html
